SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540961,SHIVAMILLS  ,B ,Q,27.50,30.00,27.50,30.00,30.00,29.35,4,259,7191.00,
540975,ASTERDM     ,A ,Q,152.95,152.95,146.05,147.95,147.95,148.40,475,6861,1022694.00,
540980,YSL         ,XT,Q,9590.00,9590.00,9590.00,9590.00,9590.00,9215.00,1,1,9590.00,
540981,KTKIND4RG   ,B ,Q,9.57,9.57,8.62,8.66,8.70,9.57,3,3,26.00,
541005,KANCOTEA    ,X ,Q,35.25,35.30,35.25,35.30,35.30,37.05,3,52,1833.00,
541019,HGINFRA     ,B ,Q,220.70,221.50,217.00,219.85,220.00,216.95,326,1406,308017.00,
541097,LIQUIDETF   ,F ,Q,1000.01,1000.01,1000.00,1000.00,1000.00,999.99,4,240,240001.00,
541143,BDL         ,B ,Q,289.90,294.50,284.45,285.15,285.15,287.65,269,3742,1082111.00,
541153,BANDHANBNK  ,A ,Q,523.00,523.00,508.00,515.15,515.15,520.90,3073,75803,39040083.00,
541154,HAL         ,A ,Q,754.75,764.00,754.05,757.85,754.05,757.60,38,370,281103.00,
541161,KARDA       ,B ,Q,99.00,102.25,94.40,98.25,98.00,99.65,644,15822,1552458.00,
541163,SANDHAR     ,B ,Q,245.00,246.75,240.10,240.10,240.10,244.25,25,75,18199.00,
541167,YASHO       ,M ,Q,126.00,126.00,126.00,126.00,126.00,125.00,1,1200,151200.00,
541178,BENARA      ,M ,Q,24.90,26.30,23.95,26.30,26.30,25.05,26,54000,1365600.00,
541179,ISEC        ,A ,Q,356.00,361.00,353.10,356.75,355.20,353.35,729,10728,3832475.00,
541195,MIDHANI     ,B ,Q,148.50,151.30,146.35,147.20,147.20,147.55,1484,39846,5907866.00,
541233,LEMONTREE   ,A ,Q,59.45,60.35,58.05,58.70,58.70,58.65,438,11663,688783.00,
